Overall Rank,Position Rank,Name,Team,Bye Week
1,WR1,Ja'Marr Chase,CIN,10
81,WR41,Jauan Jennings,SF,14
161,WR69,Christian Kirk,HOU,6
241,RB70,Trevor Etienne,CAR,14
2,RB1,Bijan Robinson,ATL,5
82,WR42,Cooper Kupp,SEA,8
162,WR70,Mike Williams,LAC,12
242,RB71,Jarquez Hunter,LAR,8
3,WR2,Justin Jefferson,MIN,6
83,RB27,TreVeyon Henderson,NE,14
163,RB55,Jaylen Wright,MIA,12
243,RB72,Sincere McCormick,LV,8
4,RB2,Saquon Barkley,PHI,9
84,RB28,Kaleb Johnson,PIT,5
164,RB56,Will Shipley,PHI,9
244,RB73,Antonio Gibson,NE,14
5,RB3,Jahmyr Gibbs,DET,8
85,RB29,Isiah Pacheco,KC,10
165,RB57,Justice Hill,BAL,7
245,RB74,Jaleel McLaughlin,DEN,12
6,WR3,CeeDee Lamb,DAL,10
86,RB30,Javonte Williams,DAL,10
166,WR71,Quentin Johnston,LAC,12
246,RB75,Devin Singletary,NYG,14
7,WR4,Puka Nacua,LAR,8
87,RB31,Tyrone Tracy Jr.,NYG,14
167,TE19,Chigoziem Okonkwo,TEN,10
247,RB76,Ty Johnson,BUF,7
8,WR5,Malik Nabers,NYG,14
88,RB32,Brian Robinson Jr.,WAS,12
168,TE20,Zach Ertz,WAS,12
248,RB77,Samaje Perine,CIN,10
9,RB4,Christian McCaffrey,SF,14
89,RB33,Jaylen Warren,PIT,5
249,RB78,Elijah Mitchell,KC,10
90,RB34,Rhamondre Stevenson,NE,14
250,RB79,Sean Tucker,TB,9
11,RB5,Ashton Jeanty,LV,8
91,QB7,Baker Mayfield,TB,9
12,RB6,De'Von Achane,MIA,12
92,QB8,Bo Nix,DEN,12
252,WR91,Tutu Atwell,LAR,8
13,WR7,Nico Collins,HOU,6
93,QB9,Kyler Murray,ARI,8
253,WR92,Jalen Coker,CAR,14
14,WR8,Brian Thomas Jr.,JAX,16
94,QB10,Brock Purdy,SF,14
15,WR9,A.J. Brown,PHI,9
95,WR43,Deebo Samuel Sr.,WAS,12
16,RB7,Jonathan Taylor,IND,11
96,WR44,Stefon Diggs,NE,14
256,K15,Brandon McManus,GB,5
17,RB8,Josh Jacobs,GB,5
97,WR45,Ricky Pearsall,SF,14
257,K16,Evan McPherson,CIN,10
18,RB9,Derrick Henry,BAL,7
98,WR46,Keon Coleman,BUF,7
258,TE27,Tyler Higbee,LAR,8
19,TE1,Brock Bowers,LV,8
99,WR47,Michael Pittman Jr.,IND,11
259,TE28,Theo Johnson,NYG,14
20,TE2,Trey McBride,ARI,8
100,WR48,Jayden Reed,GB,5
260,TE29,Noah Fant,SEA,8
21,RB10,Bucky Irving,TB,9
101,RB35,Cam Skattebo,NYG,14
181,K1,Jake Bates,DET,8
261,WR93,Gabe Davis,FA,0
22,WR10,Drake London,ATL,5
102,RB36,Austin Ekeler,WAS,12
182,K2,Chase McLaughlin,TB,9
262,WR94,Parker Washington,JAX,16
23,RB11,Kyren Williams,LAR,8
103,RB37,J.K. Dobbins,DEN,12
183,K3,Cameron Dicker,LAC,12
263,WR95,Jalen Tolbert,DAL,10
24,RB12,James Cook,BUF,7
104,QB11,Caleb Williams,CHI,5
184,K4,Brandon Aubrey,DAL,10
264,WR96,Josh Reynolds,NYJ,9
25,QB1,Josh Allen,BUF,7
105,QB12,Justin Herbert,LAC,12
185,K5,Jason Sanders,MIA,12
265,RB81,Cordarrelle Patterson,PIT,5
26,QB2,Lamar Jackson,BAL,7
106,TE9,Evan Engram,DEN,12
186,K6,Tyler Bass,BUF,7
266,RB82,Kyle Juszczyk,SF,14
27,QB3,Jayden Daniels,WAS,12
107,TE10,Jonnu Smith,MIA,12
187,K7,Jake Elliott,PHI,9
267,QB28,Sam Darnold,SEA,8
28,QB4,Jalen Hurts,PHI,9
108,TE11,Tucker Kraft,GB,5
188,K8,Chris Boswell,PIT,5
268,QB29,Aaron Rodgers,PIT,5
29,WR11,Tee Higgins,CIN,10
109,TE12,Colston Loveland,CHI,5
189,K9,Harrison Butker,KC,10
269,QB30,Russell Wilson,NYG,14
30,WR12,Ladd McConkey,LAC,12
110,WR49,Rashid Shaheed,NO,11
190,K10,Cairo Santos,CHI,5
270,QB31,Tyler Shough,NO,11
31,WR13,Tyreek Hill,MIA,12
111,WR50,Darnell Mooney,ATL,5
191,K11,Tyler Loop,BAL,7
271,WR97,Noah Brown,WAS,12
32,WR14,Davante Adams,LAR,8
112,WR51,Josh Downs,IND,11
192,K12,Matt Gay,WAS,12
272,WR98,KaVontae Turpin,DAL,10
33,WR15,Rashee Rice,KC,10
113,TE13,Dallas Goedert,PHI,9
193,TE21,Kyle Pitts,ATL,5
273,WR99,Robert Woods,PIT,5
114,RB38,Travis Etienne Jr.,JAX,16
