draft_round,draft_ovr,twitter_username,team,fantasypros_id,sleeper_id,stats_global_id,mfl_id,cbs_id,merge_name,stats_id,rotoworld_id,cfbref_id,nfl_id,height,weight,name,ktc_id,gsis_id,pfr_id,fantasy_data_id,college,sportradar_id,position,birthdate,age,swish_id,draft_pick,yahoo_id,rotowire_id,draft_year,espn_id,pff_id,db_season,fleaflicker_id
1.0,,,TEN,24755.0,12522.0,0.0,17030,3168422.0,cam ward,41786.0,,,,74.0,219.0,Cam Ward,1730.0,,,,Miami (FL),3c76cab3-3df2-43dd-acaa-57e055bd32d0,QB,2002-05-25,23.1,,1.0,,16997.0,2025.0,4688380.0,,2025,
5.0,,,CLE,25968.0,12524.0,0.0,17031,26710004.0,shedeur sanders,41930.0,,,,73.0,212.0,Shedeur Sanders,1731.0,,,,Colorado,270e09bc-8bf8-44b0-87ed-1fd014de4ab7,QB,2002-02-07,23.4,,6.0,,18479.0,2025.0,4432762.0,,2025,
1.0,,,NYG,23160.0,12508.0,0.0,17032,26694019.0,jaxson dart,41810.0,,,,74.0,223.0,Jaxson Dart,1732.0,,,,Ole Miss,53848cba-bcad-4cd0-bb35-0a1f6ed111d1,QB,2003-05-13,22.1,,25.0,,18574.0,2025.0,4689114.0,,2025,
3.0,,,SEA,22884.0,12510.0,0.0,17033,26694943.0,jalen milroe,41882.0,,,,74.0,216.0,Jalen Milroe,1733.0,,,,Alabama,b0eb5b67-4ef2-462d-bfe7-e73bcce1f6b0,QB,2002-12-13,22.6,,28.0,,18477.0,2025.0,4432734.0,,2025,
7.0,,,MIA,23680.0,12500.0,0.0,17034,26746721.0,quinn ewers,42037.0,,,,74.0,214.0,Quinn Ewers,1734.0,,,,Texas,d89f0384-21a6-44e4-8aa6-324cb2103bf6,QB,2003-05-13,22.1,,15.0,,18505.0,2025.0,4889929.0,,2025,
6.0,,,IND,25373.0,12470.0,0.0,17035,26699092.0,riley leonard,41968.0,,,,75.0,216.0,Riley Leonard,1735.0,,,,Notre Dame,38b62d7f-4403-4e2b-8083-4d0cd08e81aa,QB,2002-09-13,22.8,,13.0,,18513.0,2025.0,4683423.0,,2025,
6.0,,,PIT,25972.0,12511.0,0.0,17036,3162310.0,will howard,41989.0,,,,76.0,236.0,Will Howard,1736.0,,,,Ohio State,b8a1b579-3a7e-4858-960b-fbfaca8de613,QB,2001-09-24,23.8,,9.0,,18512.0,2025.0,4429955.0,,2025,
3.0,,,CLE,23150.0,12486.0,0.0,17037,3121534.0,dillon gabriel,41861.0,,,,71.0,205.0,Dillon Gabriel,1737.0,,,,Oregon,299d4fe8-188c-43d1-95d3-8a8f103da5c5,QB,2000-12-28,24.5,,30.0,,18496.0,2025.0,4427238.0,,2025,
6.0,,,PHI,23066.0,12494.0,0.0,17038,26702687.0,kyle mccord,41971.0,,,,75.0,218.0,Kyle McCord,1738.0,,,,Syracuse,451c7689-4fc2-410a-a33f-22dfa2ab37d4,QB,2002-09-19,22.8,,5.0,,18498.0,2025.0,4433971.0,,2025,
2.0,,,NOS,23096.0,12545.0,0.0,17039,2964064.0,tyler shough,41825.0,,,,77.0,219.0,Tyler Shough,1739.0,,,,Louisville,94b8f9e1-3109-4429-8f71-4f79d7588237,QB,1999-09-28,25.8,,8.0,,17037.0,2025.0,4360689.0,,2025,
,,,NYJ,27161.0,12538.0,0.0,17040,3163207.0,brady cook,42229.0,,,,74.0,215.0,Brady Cook,,,,,Missouri,4916c770-2501-11f0-aed8-c154e65d4269,QB,2001-10-12,23.7,,,,18482.0,2025.0,4429435.0,,2025,
7.0,,,SFO,27129.0,12477.0,0.0,17041,3122216.0,kurtis rourke,42009.0,,,,77.0,222.0,Kurtis Rourke,,,,,Indiana,1b412617-dee5-4c07-bdfc-e26eeff7fe80,QB,2000-10-25,24.7,,11.0,,18565.0,2025.0,4430431.0,,2025,
1.0,,,LVR,25989.0,12527.0,0.0,17042,28874008.0,ashton jeanty,41791.0,,,,68.0,211.0,Ashton Jeanty,1742.0,,,,Boise State,320fc4b7-76c7-43af-bbfd-1a22ba8f78cb,RB,2003-12-02,21.6,,6.0,,18487.0,2025.0,4890973.0,,2025,
2.0,,,NEP,23065.0,12529.0,0.0,17043,26699547.0,treveyon henderson,41823.0,,,,70.0,202.0,TreVeyon Henderson,1743.0,,,,Ohio State,0d9788e6-03ee-416d-8ba2-deb57037d209,RB,2002-10-22,22.7,,6.0,,18517.0,2025.0,4432710.0,,2025,
1.0,,,LAC,25395.0,12507.0,0.0,17044,28908905.0,omarion hampton,41807.0,,,,72.0,220.0,Omarion Hampton,1744.0,,,,North Carolina,3e1b7908-79ee-4a23-97b9-5190725a2e5e,RB,2003-03-16,22.3,,22.0,,18445.0,2025.0,4685382.0,,2025,
4.0,,,NYG,27166.0,12481.0,0.0,17045,26697012.0,cam skattebo,41922.0,,,,71.0,215.0,Cam Skattebo,1745.0,,,,Arizona State,e1f0c72d-f4d0-4c24-93a4-8a12b9a2efd2,RB,2002-02-05,23.4,,3.0,,18514.0,2025.0,4696981.0,,2025,
6.0,,,NOS,23682.0,12476.0,0.0,17046,26703005.0,devin neal,41972.0,,,,71.0,213.0,Devin Neal,1746.0,,,,Kansas,4ef874c1-50c3-4120-9199-0d5a4ae7c6dd,RB,2003-08-12,21.9,,8.0,,18521.0,2025.0,4682652.0,,2025,
4.0,,,CLE,27102.0,12469.0,0.0,17047,28912068.0,dylan sampson,41907.0,,,,68.0,200.0,Dylan Sampson,1747.0,,,,Tennessee,6ea71d26-623a-4178-a93a-215678244902,RB,2004-09-14,20.8,,24.0,,18467.0,2025.0,5081397.0,,2025,
3.0,,,PIT,27165.0,12504.0,0.0,17048,28875572.0,kaleb johnson,41881.0,,,,73.0,224.0,Kaleb Johnson,1748.0,,,,Iowa,9738de9a-7626-460f-a786-28433ef70a1f,RB,2003-08-14,21.9,,19.0,,18515.0,2025.0,4819231.0,,2025,
7.0,,,KCC,27259.0,12455.0,0.0,17049,26694196.0,brashard smith,42012.0,,,,70.0,196.0,Brashard Smith,1749.0,,,,SMU,3170164a-1718-4a39-9ef2-e18104e35fef,RB,2003-04-11,22.2,,12.0,,18529.0,2025.0,4596602.0,,2025,
6.0,,,TEN,27045.0,12516.0,0.0,17050,3169471.0,kalel mullings,41986.0,,,,74.0,226.0,Kalel Mullings,1750.0,,,,Michigan,9983d47b-c955-4546-882f-4bd2a2a5ad42,RB,2002-10-04,22.7,,12.0,,18463.0,2025.0,4429121.0,,2025,
2.0,,,CLE,25391.0,12512.0,0.0,17051,28878286.0,quinshon judkins,41821.0,,,,71.0,221.0,Quinshon Judkins,1751.0,,,,Ohio State,268c6ae2-278b-49f8-b7cd-b367944412f3,RB,2003-10-29,21.7,,4.0,,18516.0,2025.0,4685702.0,,2025,
4.0,,,JAC,27297.0,12490.0,0.0,17052,26732838.0,bhayshul tuten,41900.0,,,,71.0,209.0,Bhayshul Tuten,1752.0,,,,Virginia Tech,26d4b13e-a555-4519-9356-cd16c65384e7,RB,2003-02-14,22.4,,2.0,,18524.0,2025.0,4882093.0,,2025,
4.0,,,HOU,27520.0,12474.0,0.0,17053,3171045.0,woody marks,41902.0,,,,70.0,208.0,Woody Marks,1753.0,,,,USC,b900661b-b5df-47c8-819d-bb13b106a60b,RB,2000-12-29,24.5,,14.0,,18449.0,2025.0,4429059.0,,2025,
7.0,,,SEA,25976.0,12462.0,0.0,17054,28873395.0,damien martinez,42015.0,,,,72.0,217.0,Damien Martinez,1754.0,,,,Miami (FL),487da97d-a1e8-4a1f-9b43-085944ea1a44,RB,2004-01-31,21.4,,7.0,,18528.0,2025.0,4808830.0,,2025,
5.0,,,SFO,27310.0,12467.0,0.0,17055,28916212.0,jordan james,41933.0,,,,69.0,208.0,Jordan James,1755.0,,,,Oregon,c16040c3-7534-4eeb-956c-8ed3be9972ec,RB,2004-03-29,21.3,,9.0,,18485.0,2025.0,4685397.0,,2025,
4.0,,,CAR,25393.0,12531.0,0.0,17056,28901419.0,trevor etienne,41913.0,,,,68.0,198.0,Trevor Etienne,1756.0,,,,Georgia,39e2d13c-0fb7-465f-ad8b-0b4bb73e1124,RB,2004-07-09,21.0,,12.0,,18506.0,2025.0,4685350.0,,2025,
,,,NYJ,23014.0,12515.0,0.0,17057,26697211.0,donovan edwards,,,,,73.0,212.0,Donovan Edwards,1757.0,,,,Michigan,162f3110-24fe-11f0-9c33-270dfe4c58dc,RB,2003-02-25,22.4,,,,18444.0,2025.0,4431536.0,,2025,
6.0,,,CIN,26212.0,12543.0,0.0,17058,3168518.0,tahj brooks,41983.0,,,,70.0,230.0,Tahj Brooks,1758.0,,,,Texas Tech,8d50af87-f6dc-42cb-a7e7-11716667a1dc,RB,2002-05-13,23.1,,17.0,,18519.0,2025.0,4429299.0,,2025,
6.0,,,MIA,25984.0,12495.0,0.0,17059,28873887.0,ollie gordon,41969.0,,,,73.0,226.0,Ollie Gordon,1759.0,,,,Oklahoma State,42753bb4-a416-4d40-bf81-f20d2181be2f,RB,2004-01-15,21.5,,3.0,,18450.0,2025.0,4711533.0,,2025,
5.0,,,IND,27097.0,12471.0,0.0,17060,26695679.0,dj giddens,41937.0,,,,73.0,212.0,DJ Giddens,1760.0,,,,Kansas State,73ffa6e6-7fb3-4f34-a856-38bfd62cca15,RB,2003-08-26,21.9,,13.0,,18443.0,2025.0,4874509.0,,2025,
7.0,,,JAC,27285.0,12544.0,0.0,17061,28877884.0,lequint allen,42007.0,,,,72.0,201.0,LeQuint Allen,1761.0,,,,Syracuse,14aedd06-41a6-41db-8c5e-05483f91570d,RB,2004-08-05,20.9,,20.0,,18476.0,2025.0,4911851.0,,2025,
,,,LAC,24351.0,12472.0,0.0,17062,26700087.0,raheim sanders,42139.0,,,,72.0,217.0,Raheim Sanders,1762.0,,,,South Carolina,09b7c5d0-23ca-11f0-97f8-1902f784caec,RB,2002-06-08,23.1,,,,18526.0,2025.0,4601080.0,,2025,
