season,player,pfr_id,tm,age,pos,g,gs,tgt,rec,yds,td,x1d,ybc,ybc_r,yac,yac_r,adot,brk_tkl,rec_br,drop,drop_percent,int,rat,loaded
2024,Brock Bowers,BoweBr01,LV,22.0,TE,12.0,11.0,113.0,84.0,884.0,4.0,43.0,439.0,5.2,445.0,5.3,5.6,5.0,16.8,3.0,0.027000000000000003,4.0,93.7,2024-12-05
2024,JaMarr Chase,ChasJa00,CIN,24.0,WR,12.0,12.0,109.0,79.0,1142.0,13.0,49.0,604.0,7.6,538.0,6.8,9.4,7.0,11.3,5.0,0.046,4.0,130.4,2024-12-05
2024,CeeDee Lamb,LambCe00,DAL,25.0,WR,12.0,12.0,124.0,79.0,880.0,4.0,40.0,508.0,6.4,372.0,4.7,7.9,9.0,8.8,7.0,0.055999999999999994,5.0,78.7,2024-12-05
2024,Amon-Ra St Brown,StxxAm00,DET,25.0,WR,12.0,12.0,92.0,76.0,820.0,9.0,51.0,559.0,7.4,261.0,3.4,8.0,1.0,76.0,3.0,0.033,1.0,131.9,2024-12-05
2024,Travis Kelce,KelcTr00,KC,35.0,TE,12.0,12.0,101.0,75.0,637.0,2.0,36.0,377.0,5.0,260.0,3.5,6.3,3.0,25.0,4.0,0.04,4.0,80.3,2024-12-05
2024,Malik Nabers,NabeMa00,NYG,21.0,WR,10.0,9.0,116.0,75.0,740.0,3.0,40.0,509.0,6.8,231.0,3.1,9.4,3.0,25.0,9.0,0.078,0.0,91.2,2024-12-05
2024,Garrett Wilson,WilsGa00,NYJ,24.0,WR,12.0,12.0,118.0,74.0,763.0,5.0,43.0,456.0,6.2,307.0,4.1,9.1,3.0,24.7,5.0,0.042,5.0,77.8,2024-12-05
2024,Trey McBride,McBrTr01,ARI,25.0,TE,11.0,11.0,92.0,73.0,781.0,0.0,42.0,449.0,6.2,332.0,4.5,6.7,4.0,18.3,2.0,0.022000000000000002,0.0,102.0,2024-12-05
2024,Drake London,LondDr00,ATL,23.0,WR,12.0,12.0,106.0,70.0,796.0,6.0,45.0,588.0,8.4,208.0,3.0,10.7,3.0,23.3,3.0,0.027999999999999997,7.0,79.8,2024-12-05
2024,Jaxon Smith-Njigba,SmitJa06,SEA,22.0,WR,12.0,11.0,97.0,70.0,829.0,4.0,41.0,478.0,6.8,351.0,5.0,9.0,3.0,23.3,4.0,0.040999999999999995,4.0,94.4,2024-12-05
2024,Justin Jefferson,JeffJu00,MIN,25.0,WR,12.0,12.0,100.0,68.0,1038.0,5.0,45.0,733.0,10.8,305.0,4.5,11.4,4.0,17.0,3.0,0.03,4.0,102.0,2024-12-05
2024,WanDale Robinson,RobiWa01,NYG,23.0,WR,12.0,4.0,91.0,63.0,447.0,2.0,23.0,214.0,3.4,233.0,3.7,4.3,4.0,15.8,4.0,0.044000000000000004,1.0,83.0,2024-12-05
2024,Courtland Sutton,SuttCo00,DEN,29.0,WR,13.0,10.0,104.0,63.0,846.0,5.0,44.0,696.0,11.0,150.0,2.4,13.2,1.0,63.0,6.0,0.057999999999999996,3.0,90.5,2024-12-05
2024,DJ Moore,MoorD.00,CHI,27.0,WR,12.0,12.0,96.0,62.0,663.0,5.0,28.0,311.0,5.0,352.0,5.7,8.6,4.0,15.5,2.0,0.021,2.0,93.4,2024-12-05
2024,Terry McLaurin,McLaTe00,WAS,29.0,WR,13.0,13.0,82.0,61.0,896.0,9.0,43.0,649.0,10.6,247.0,4.0,13.6,2.0,30.5,1.0,0.012,1.0,141.1,2024-12-05
2024,Zay Flowers,FlowZa00,BAL,24.0,WR,13.0,11.0,94.0,60.0,863.0,4.0,39.0,460.0,7.7,403.0,6.7,9.7,5.0,12.0,4.0,0.043,0.0,107.7,2024-12-05
2024,Khalil Shakir,ShakKh00,BUF,24.0,WR,11.0,7.0,73.0,60.0,629.0,2.0,27.0,149.0,2.5,480.0,8.0,3.9,6.0,10.0,1.0,0.013999999999999999,1.0,106.0,2024-12-05
2024,Alvin Kamara,KamaAl00,NO,29.0,RB,12.0,12.0,79.0,59.0,450.0,1.0,14.0,-25.0,-0.4,475.0,8.1,0.4,1.0,59.0,8.0,0.10099999999999999,0.0,92.3,2024-12-05
2024,Jakobi Meyers,MeyeJa01,LV,28.0,WR,10.0,10.0,86.0,59.0,676.0,2.0,36.0,476.0,8.1,200.0,3.4,8.5,2.0,29.5,1.0,0.012,2.0,90.1,2024-12-05
2024,Hunter Henry,HenrHu00,NE,30.0,TE,13.0,13.0,83.0,58.0,610.0,1.0,35.0,369.0,6.4,241.0,4.2,7.2,2.0,29.0,2.0,0.024,1.0,89.9,2024-12-05
2024,Cooper Kupp,KuppCo00,LA,31.0,WR,8.0,7.0,83.0,58.0,565.0,5.0,21.0,328.0,5.7,237.0,4.1,6.9,2.0,29.0,2.0,0.024,0.0,108.8,2024-12-05
2024,Ladd McConkey,McCoLa00,LAC,23.0,WR,12.0,10.0,81.0,58.0,815.0,4.0,38.0,553.0,9.5,262.0,4.5,10.2,6.0,9.7,2.0,0.025,1.0,115.0,2024-12-05
2024,Jonnu Smith,SmitJo01,MIA,29.0,TE,12.0,4.0,74.0,58.0,648.0,4.0,40.0,303.0,5.2,345.0,5.9,5.6,6.0,9.7,5.0,0.068,0.0,121.2,2024-12-05
2024,DeVon Achane,AchaDe00,MIA,23.0,RB,12.0,11.0,64.0,57.0,429.0,6.0,22.0,-63.0,-1.1,492.0,8.6,-0.5,2.0,28.5,1.0,0.016,0.0,125.8,2024-12-05
2024,Tyreek Hill,HillTy00,MIA,30.0,WR,12.0,12.0,83.0,55.0,654.0,4.0,34.0,427.0,7.8,227.0,4.1,11.3,1.0,55.0,1.0,0.012,0.0,106.2,2024-12-05
2024,George Pickens,PickGe00,PIT,23.0,WR,12.0,10.0,90.0,55.0,850.0,3.0,35.0,651.0,11.8,199.0,3.6,13.1,4.0,13.8,5.0,0.055999999999999994,2.0,94.2,2024-12-05
2024,Jerry Jeudy,JeudJe00,CLE,25.0,WR,12.0,11.0,91.0,54.0,880.0,3.0,40.0,630.0,11.7,250.0,4.6,13.0,0.0,,5.0,0.055,2.0,93.7,2024-12-05
2024,Cade Otton,OttoCa00,TB,25.0,TE,12.0,12.0,80.0,54.0,506.0,4.0,27.0,255.0,4.7,251.0,4.6,4.8,3.0,18.0,8.0,0.1,2.0,90.9,2024-12-05
2024,Josh Downs,DownJo00,IND,23.0,WR,10.0,6.0,78.0,53.0,594.0,4.0,31.0,345.0,6.5,249.0,4.7,7.5,0.0,,4.0,0.051,3.0,91.5,2024-12-05
