Overall Rank,Position Rank,Name,Team,Bye Week,Tm,Pos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Fmb,FmbLost,Scrim_TD,Key,Year,Pass_Y/A,Scrim_Yds,num_games,games_played_pct,games_started_pct,ProBowl,AllPro,Exp,Touches,Pass_Cmp%,Rec_Catch%,Pass_Cmp_per_game,Pass_Att_per_game,Pass_Yds_per_game,Pass_TD_per_game,Pass_Int_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Rec_Tgt_per_game,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Scrim_TD_per_game,Scrim_Yds_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,PPT_half-ppr,PointsOvrRank_half-ppr,PointsPosRank_half-ppr,PPGOvrRank_half-ppr,PPGPosRank_half-ppr,PPTOvrRank_half-ppr,PPTPosRank_half-ppr,Points_VORP_half-ppr,PPG_VORP_half-ppr,PointsTarget_half-ppr,PPGTarget_half-ppr
1,WR1,Ja'Marr Chase,CIN,10,CIN,WR,21.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,3.0,0.0,128.0,81.0,1455.0,17.962962962962962,13.0,2.0,1.0,13.0,ChasJa00,2021.0,0.0,1476.0,17.0,1.0,1.0,1.0,0.0,0.0,88.0,0.0,0.6328125,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,1.2352941176470589,0.0,7.529411764705882,4.764705882352941,85.58823529411765,0.7647058823529411,0.1176470588235294,0.0588235294117647,0.7647058823529411,86.82352941176471,5.176470588235294,264.1,15.53529411764706,3.001136363636364,21.0,5.0,30.0,5.0,25.0,18.0,113.76,4.994117647058825,198.9,16.575
1,WR1,Ja'Marr Chase,CIN,10,CIN,WR,22.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.6,0.0,134.0,87.0,1046.0,12.022988505747126,9.0,2.0,2.0,9.0,ChasJa00,2022.0,0.0,1054.0,17.0,0.7058823529411765,1.0,1.0,0.0,1.0,92.0,0.0,0.6492537313432836,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.6666666666666666,0.0,11.166666666666666,7.25,87.16666666666667,0.75,0.1666666666666666,0.1666666666666666,0.75,87.83333333333333,7.666666666666667,198.9,16.575,2.1619565217391306,47.0,12.0,25.0,4.0,114.0,78.0,54.1,6.327941176470587,212.72000000000003,13.295000000000002
1,WR1,Ja'Marr Chase,CIN,10,CIN,WR,23.0,16.0,16.0,1.0,1.0,-7.0,0.0,0.0,3.0,-6.0,-2.0,0.0,145.0,100.0,1216.0,12.16,7.0,1.0,0.0,7.0,ChasJa00,2023.0,-7.0,1210.0,17.0,0.9411764705882352,1.0,1.0,0.0,2.0,104.0,1.0,0.6896551724137931,0.0625,0.0625,-0.4375,0.0,0.0,0.1875,-0.375,0.0,9.0625,6.25,76.0,0.4375,0.0625,0.0,0.4375,75.625,6.5,212.72000000000003,13.295000000000002,2.045384615384616,42.0,13.0,60.0,13.0,130.0,93.0,47.02000000000004,2.853823529411766,339.5,19.97058823529412
1,WR1,Ja'Marr Chase,CIN,10,CIN,WR,24.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,10.666666666666666,0.0,175.0,127.0,1708.0,13.448818897637794,17.0,0.0,0.0,17.0,ChasJa00,2024.0,0.0,1740.0,17.0,1.0,0.9411764705882352,1.0,0.0,3.0,130.0,0.0,0.7257142857142858,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,1.8823529411764703,0.0,10.294117647058824,7.470588235294118,100.47058823529412,1.0,0.0,0.0,1.0,102.3529411764706,7.647058823529412,339.5,19.97058823529412,2.6115384615384616,6.0,1.0,9.0,1.0,44.0,33.0,178.3,8.964705882352938,,
81,WR41,Jauan Jennings,SF,14,SFO,WR,24.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,282.0,11.75,5.0,1.0,0.0,5.0,JennJa00,2021.0,0.0,282.0,17.0,0.9411764705882352,0.0625,0.0,0.0,0.0,24.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.375,1.5,17.625,0.3125,0.0625,0.0,0.3125,17.625,1.5,70.2,4.3875,2.9250000000000003,209.0,84.0,264.0,103.0,29.0,20.0,-80.14000000000003,-6.153676470588235,65.1,4.06875
81,WR41,Jauan Jennings,SF,14,SFO,WR,25.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,35.0,416.0,11.885714285714286,1.0,1.0,0.0,1.0,JennJa00,2022.0,0.0,416.0,17.0,0.9411764705882352,0.25,0.0,0.0,1.0,35.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.1875,26.0,0.0625,0.0625,0.0,0.0625,26.0,2.1875,65.1,4.06875,1.86,216.0,90.0,272.0,104.0,194.0,128.0,-79.70000000000002,-6.178308823529413,42.0,3.230769230769231
81,WR41,Jauan Jennings,SF,14,SFO,WR,26.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,19.0,265.0,13.947368421052632,1.0,0.0,0.0,1.0,JennJa00,2023.0,0.0,265.0,17.0,0.7647058823529411,0.1538461538461538,0.0,0.0,2.0,19.0,0.0,0.5757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5384615384615383,1.4615384615384617,20.384615384615383,0.0769230769230769,0.0,0.0,0.0769230769230769,20.384615384615383,1.4615384615384617,42.0,3.230769230769231,2.210526315789474,264.0,110.0,277.0,102.0,98.0,71.0,-123.7,-7.210407239819005,172.0,11.466666666666669
81,WR41,Jauan Jennings,SF,14,SFO,WR,27.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,77.0,975.0,12.662337662337665,6.0,1.0,0.0,6.0,JennJa00,2024.0,0.0,975.0,17.0,0.8823529411764706,0.6666666666666666,0.0,0.0,3.0,77.0,0.0,0.6814159292035398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.533333333333333,5.133333333333334,65.0,0.4,0.0666666666666666,0.0,0.4,65.0,5.133333333333334,172.0,11.466666666666669,2.2337662337662336,78.0,25.0,91.0,28.0,96.0,70.0,10.800000000000011,0.4607843137254885,,
161,WR69,Christian Kirk,HOU,6,ARI,WR,22.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,11.666666666666666,0.0,68.0,43.0,590.0,13.72093023255814,3.0,0.0,0.0,3.0,KirkCh01,2018.0,0.0,625.0,16.0,0.75,0.5833333333333334,0.0,0.0,0.0,46.0,0.0,0.6323529411764706,0.0,0.0,0.0,0.0,0.0,0.25,2.9166666666666665,0.0,5.666666666666667,3.583333333333333,49.16666666666666,0.25,0.0,0.0,0.25,52.083333333333336,3.8333333333333335,102.0,8.5,2.217391304347826,146.0,59.0,138.0,47.0,130.0,86.0,-45.400000000000006,-1.959999999999999,132.2,10.169230769230769
161,WR69,Christian Kirk,HOU,6,ARI,WR,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,93.0,9.3,0.0,108.0,68.0,709.0,10.426470588235292,3.0,0.0,0.0,3.0,KirkCh01,2019.0,0.0,802.0,16.0,0.8125,1.0,0.0,0.0,1.0,78.0,0.0,0.6296296296296297,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,7.153846153846154,0.0,8.307692307692308,5.230769230769231,54.53846153846154,0.2307692307692307,0.0,0.0,0.2307692307692307,61.69230769230769,6.0,132.2,10.169230769230769,1.6948717948717946,107.0,40.0,115.0,37.0,241.0,155.0,-26.40000000000001,-0.9495192307692316,122.4,8.742857142857144
