Name,Team,Pos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Rush_Y/A,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Pass_Cmp%,Pass_Cmp_per_game,Pass_Att_per_game,Pass_Yds_per_game,Pass_TD_per_game,Pass_Int_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,player_jersey_number
Aaron Rodgers,PIT,QB,41.0,17.0,17.0,368.0,584.0,3897.0,28.0,11.0,22.0,107.0,0.0,4.863636363636363,5.0,2.0,2024,1.0,1.0,0.0,0.0,606.0,0.6301369863013698,21.647058823529413,34.35294117647059,229.23529411764707,1.6470588235294117,0.6470588235294118,1.2941176470588236,6.294117647058823,0.0,0.2941176470588235,0.1176470588235294,35.64705882352941,263.58,15.50470588235294,Aaron Rodgers,2024.0,8.833333333333334,2.689422134114768,4.587405837973354,6.732608630722411,-2.145202792749056,14.17958051316315,39.09161341748569,-1.7784594809629857,64.88888888888889,433.0,3.111111111111111,1.2222222222222223,91.58030385546024,40.888888888888886,63.44314455258269,68.22188728329161,-4.778742730708911,20.25367661536449,45.465948505802174,8.0
Anthony Richardson,IND,QB,22.0,11.0,11.0,126.0,264.0,1814.0,8.0,12.0,86.0,499.0,6.0,5.8023255813953485,9.0,3.0,2024,0.6470588235294118,1.0,0.0,0.0,351.0,0.4772727272727273,11.454545454545457,24.0,164.9090909090909,0.7272727272727273,1.0909090909090908,7.818181818181818,45.36363636363637,0.5454545454545454,0.8181818181818182,0.2727272727272727,31.90909090909091,172.86,15.714545454545457,Anthony Richardson,2024.0,7.2,2.959558445224201,8.18161005432476,12.334327018684908,-4.152716964360148,16.34867667162559,44.75336243729654,2.89139714077655,51.3,342.6,1.5,2.3,61.00775679590017,24.2,46.87015835042151,58.033133709785965,-11.16297535936446,25.31946536596994,54.369476146081546,5.0
Baker Mayfield,TB,QB,29.0,17.0,17.0,407.0,570.0,4500.0,41.0,16.0,60.0,378.0,3.0,6.3,13.0,2.0,2024,1.0,1.0,0.0,0.0,630.0,0.7140350877192982,23.94117647058824,33.529411764705884,264.7058823529412,2.411764705882353,0.9411764705882352,3.5294117647058822,22.23529411764705,0.1764705882352941,0.7647058823529411,0.1176470588235294,37.05882352941177,379.8,22.34117647058824,Baker Mayfield,2024.0,8.88888888888889,2.6987216183970264,5.12958764679281,6.767092077559576,-1.6375044307667654,11.08843660394506,35.8719614627545,-2.224817071660621,63.333333333333336,500.0,4.555555555555555,1.7777777777777777,105.94111541282383,45.22222222222222,71.57851869543617,70.15207900697645,1.4264396884597177,20.25589291610261,43.30429663367704,6.0
Bo Nix,DEN,QB,24.0,17.0,17.0,376.0,567.0,3775.0,29.0,12.0,92.0,430.0,4.0,4.673913043478261,3.0,0.0,2024,1.0,1.0,0.0,0.0,660.0,0.6631393298059964,22.11764705882353,33.35294117647059,222.05882352941177,1.7058823529411764,0.7058823529411765,5.411764705882353,25.294117647058822,0.2352941176470588,0.1764705882352941,0.0,38.8235294117647,328.7,19.33529411764706,Bo Nix,2024.0,8.722222222222221,2.916304256918369,4.533227920066591,7.420328619300079,-2.887100699233487,12.79668618224833,42.46974951032812,-1.5572514745168142,63.0,419.44444444444446,3.2222222222222223,1.3333333333333333,93.12222374825583,41.77777777777778,66.38093367785824,68.93462660266613,-2.5536929248078786,21.340335672794385,53.3566333932137,10.0
Brock Purdy,SF,QB,25.0,15.0,15.0,300.0,455.0,3864.0,20.0,12.0,66.0,323.0,5.0,4.893939393939394,7.0,3.0,2024,0.8823529411764706,1.0,0.0,0.0,521.0,0.6593406593406593,20.0,30.33333333333333,257.6,1.3333333333333333,0.8,4.4,21.53333333333333,0.3333333333333333,0.4666666666666667,0.2,34.733333333333334,278.86,18.590666666666667,Brock Purdy,2024.0,8.25,2.936854159560298,7.316603894976283,8.71454321966176,-1.3979393246854768,17.681236455012872,39.18405344875778,-0.3054284150457284,56.875,483.0,2.5,1.5,96.10354574334372,37.5,65.85116153004084,64.24628567896895,1.604875851071903,21.042913883259853,41.490094415867375,13.0
Bryce Young,CAR,QB,23.0,14.0,12.0,234.0,384.0,2403.0,15.0,9.0,43.0,249.0,6.0,5.790697674418604,5.0,2.0,2024,0.8235294117647058,0.8571428571428571,0.0,0.0,427.0,0.609375,16.714285714285715,27.428571428571427,171.64285714285714,1.0714285714285714,0.6428571428571429,3.071428571428572,17.785714285714285,0.4285714285714285,0.3571428571428571,0.1428571428571428,30.5,204.02,14.572857142857144,Bryce Young,2024.0,10.384615384615383,2.776167624827904,6.243644684355628,8.734261297397635,-2.4906166130420084,20.19086349208817,38.40436244220198,0.0521731643251181,58.38461538461539,365.5384615384616,2.3076923076923075,1.3846153846153846,81.85686405739693,35.53846153846154,60.97320150899485,59.4859553425356,1.487246166459236,22.61562821282329,45.55596727382007,9.0
C.J. Stroud,HOU,QB,23.0,17.0,17.0,336.0,532.0,3727.0,20.0,12.0,52.0,233.0,0.0,4.480769230769231,6.0,4.0,2024,1.0,1.0,0.0,0.0,584.0,0.631578947368421,19.764705882352946,31.294117647058822,219.23529411764707,1.1764705882352942,0.7058823529411765,3.0588235294117645,13.705882352941176,0.0,0.3529411764705882,0.2352941176470588,34.35294117647059,232.38,13.669411764705885,C.J. Stroud,2024.0,8.176470588235293,2.9917759105297925,6.222046001945391,8.403399772451785,-2.1813537705063952,15.511039820540413,42.29959700094001,-0.8313295749003359,62.23529411764706,435.52941176470586,2.294117647058824,1.411764705882353,85.1430337188181,39.1764705882353,62.21736066533418,62.40358413415911,-0.1862234688249357,21.66090375696459,49.794209485857074,7.0
Caleb Williams,CHI,QB,23.0,17.0,17.0,351.0,562.0,3541.0,20.0,6.0,81.0,489.0,0.0,6.037037037037037,10.0,5.0,2024,1.0,1.0,0.0,0.0,643.0,0.6245551601423488,20.647058823529413,33.05882352941177,208.2941176470588,1.1764705882352942,0.3529411764705882,4.764705882352941,28.764705882352946,0.0,0.5882352941176471,0.2941176470588235,37.8235294117647,254.54,14.97294117647059,Caleb Williams,2024.0,9.11111111111111,2.9258494487180764,4.520476189696156,7.693537577561573,-3.1730613878654155,11.901278783616997,37.44673638930696,-1.4524151995522792,62.44444444444444,393.44444444444446,2.2222222222222223,0.6666666666666666,87.76009270027538,39.0,62.62763537473437,63.82613342480367,-1.1984980500693014,21.171144244166413,46.42493422058971,18.0
Dak Prescott,DAL,QB,31.0,8.0,8.0,185.0,286.0,1978.0,11.0,8.0,13.0,54.0,1.0,4.153846153846154,4.0,1.0,2024,0.4705882352941176,1.0,0.0,0.0,299.0,0.6468531468531469,23.125,35.75,247.25,1.375,1.0,1.625,6.75,0.125,0.5,0.125,37.375,124.52,15.565,Dak Prescott,2024.0,4.222222222222222,2.773208734046028,5.223628339405503,7.512072310077061,-2.288443970671558,20.373797360381467,39.86384631719929,-1.3532726758744775,63.55555555555556,439.55555555555554,2.4444444444444446,1.7777777777777777,86.70984167052387,41.11111111111112,65.66964115876225,64.21765454416067,1.4519866146015916,20.119685343634863,47.144810315522,4.0
Daniel Jones,IND,QB,27.0,10.0,10.0,216.0,341.0,2070.0,8.0,7.0,67.0,265.0,2.0,3.955223880597015,4.0,2.0,2024,0.5882352941176471,1.0,0.0,0.0,408.0,0.6334310850439883,21.6,34.1,207.0,0.8,0.7,6.7,26.5,0.2,0.4,0.2,40.8,142.3,14.23,Daniel Jones,2024.0,5.0,2.7069686260718537,4.953904185992403,7.293598827530229,-2.339694641537825,15.019357330016446,37.891959488490336,-1.6378964234696007,62.0,376.3636363636364,1.4545454545454546,1.2727272727272727,81.98098173239892,39.27272727272727,63.95162241066059,64.46417941852668,-0.5125570078661006,20.593715439536737,49.95296976926227,8.454545454545455
