Name,Team,Pos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Rush_Y/A,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Pass_Cmp%,Pass_Cmp_per_game,Pass_Att_per_game,Pass_Yds_per_game,Pass_TD_per_game,Pass_Int_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,player_jersey_number,next_year_Pass_Yds,next_year_Rush_Yds,next_year_Points_half-ppr,next_year_PPG_half-ppr
Aaron Rodgers,PIT,QB,22.0,3.0,0.0,9.0,16.0,65.0,0.0,1.0,2.0,7.0,0.0,3.5,2.0,2.0,2005,0.1875,0.0,0.0,0.0,18.0,0.5625,3.0,5.333333333333333,21.666666666666668,0.0,0.3333333333333333,0.6666666666666666,2.333333333333333,0.0,0.6666666666666666,0.6666666666666666,6.0,-1.6999999999999995,-0.5666666666666665,,,,,,,,,,,,,,,,,,,,,,,46.0,11.0,0.9400000000000004,0.4700000000000002
Aaron Rodgers,PIT,QB,23.0,2.0,0.0,6.0,15.0,46.0,0.0,0.0,2.0,11.0,0.0,5.5,1.0,1.0,2006,0.125,0.0,0.0,0.0,17.0,0.4,3.0,7.5,23.0,0.0,0.0,1.0,5.5,0.0,0.5,0.5,8.5,0.9400000000000004,0.4700000000000002,,,,,,,,,,,,,,,,,,,,,,,218.0,29.0,15.62,7.81
Aaron Rodgers,PIT,QB,24.0,2.0,0.0,20.0,28.0,218.0,1.0,0.0,7.0,29.0,0.0,4.142857142857143,0.0,0.0,2007,0.125,0.0,0.0,0.0,35.0,0.7142857142857143,10.0,14.0,109.0,0.5,0.0,3.5,14.5,0.0,0.0,0.0,17.5,15.62,7.81,,,,,,,,,,,,,,,,,,,,,,,4038.0,207.0,297.22,18.57625
Aaron Rodgers,PIT,QB,25.0,16.0,16.0,341.0,536.0,4038.0,28.0,13.0,56.0,207.0,4.0,3.696428571428572,10.0,4.0,2008,1.0,1.0,0.0,0.0,592.0,0.6361940298507462,21.3125,33.5,252.375,1.75,0.8125,3.5,12.9375,0.25,0.625,0.25,37.0,297.22,18.57625,,,,,,,,,,,,,,,,,,,,,,,4434.0,316.0,343.96000000000004,21.4975
Aaron Rodgers,PIT,QB,26.0,16.0,16.0,350.0,541.0,4434.0,30.0,7.0,58.0,316.0,5.0,5.448275862068965,10.0,4.0,2009,1.0,1.0,1.0,0.0,599.0,0.6469500924214417,21.875,33.8125,277.125,1.875,0.4375,3.625,19.75,0.3125,0.625,0.25,37.4375,343.96000000000004,21.4975,,,,,,,,,,,,,,,,,,,,,,,3922.0,356.0,315.48,21.032
Aaron Rodgers,PIT,QB,27.0,15.0,15.0,312.0,475.0,3922.0,28.0,11.0,64.0,356.0,4.0,5.5625,4.0,1.0,2010,0.9375,1.0,0.0,0.0,539.0,0.6568421052631579,20.8,31.666666666666668,261.46666666666664,1.8666666666666667,0.7333333333333333,4.266666666666667,23.73333333333333,0.2666666666666666,0.2666666666666666,0.0666666666666666,35.93333333333333,315.48,21.032,,,,,,,,,,,,,,,,,,,,,,,4643.0,257.0,403.42,26.89466666666667
Aaron Rodgers,PIT,QB,28.0,15.0,15.0,343.0,502.0,4643.0,45.0,6.0,60.0,257.0,3.0,4.283333333333333,4.0,0.0,2011,0.9375,1.0,1.0,1.0,562.0,0.6832669322709163,22.866666666666667,33.46666666666667,309.53333333333336,3.0,0.4,4.0,17.133333333333333,0.2,0.2666666666666666,0.0,37.46666666666667,403.42,26.89466666666667,,,,,,,,,,,,,,,,,,,,,,,4295.0,259.0,350.1,21.88125
Aaron Rodgers,PIT,QB,29.0,16.0,16.0,371.0,552.0,4295.0,39.0,8.0,54.0,259.0,2.0,4.796296296296297,5.0,4.0,2012,1.0,1.0,1.0,0.0,607.0,0.6721014492753623,23.1875,34.5,268.4375,2.4375,0.5,3.375,16.1875,0.125,0.3125,0.25,37.9375,350.1,21.88125,,,,,,,,,,,,,,,,,,,,,,,2536.0,120.0,175.44,19.49333333333333
Aaron Rodgers,PIT,QB,30.0,9.0,9.0,193.0,290.0,2536.0,17.0,6.0,30.0,120.0,0.0,4.0,4.0,0.0,2013,0.5625,1.0,0.0,0.0,320.0,0.6655172413793103,21.444444444444443,32.22222222222222,281.77777777777777,1.8888888888888888,0.6666666666666666,3.333333333333333,13.333333333333334,0.0,0.4444444444444444,0.0,35.55555555555556,175.44,19.49333333333333,,,,,,,,,,,,,,,,,,,,,,,4381.0,269.0,357.14,22.32125
Aaron Rodgers,PIT,QB,31.0,16.0,16.0,341.0,520.0,4381.0,38.0,5.0,43.0,269.0,2.0,6.255813953488372,10.0,2.0,2014,1.0,1.0,1.0,1.0,563.0,0.6557692307692308,21.3125,32.5,273.8125,2.375,0.3125,2.6875,16.8125,0.125,0.625,0.125,35.1875,357.14,22.32125,,,,,,,,,,,,,,,,,,,,,,,3821.0,344.0,301.24,18.8275
