Name,Team,Pos,Age,G,GS,Rush_Att,Rush_Yds,Rush_TD,Rush_Y/A,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,player_jersey_number,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected
Aaron Jones,MIN,RB,30.0,17.0,17.0,255.0,1138.0,5.0,4.462745098039216,51.0,408.0,2.0,8.0,5.0,3.0,2024,1.0,1.0,0.0,0.0,306.0,15.0,66.94117647058823,0.2941176470588235,3.0,24.0,0.1176470588235294,0.2941176470588235,0.1764705882352941,18.0,216.1,12.711764705882354,Aaron Jones,2024.0,9.666666666666666,4.026050901562842,16.604359062563397,2.7858672657007024,32.6,146.2,4.57616907000808,0.6666666666666666,33.0,136.3194444722102,5.3472221944564655,0.2496911205586089,0.4164835816738731
Alec Ingold,MIA,RB,28.0,15.0,10.0,10.0,17.0,1.0,1.7,11.0,96.0,0.0,8.727272727272727,2.0,1.0,2024,0.8823529411764706,0.6666666666666666,0.0,0.0,21.0,0.6666666666666666,1.1333333333333333,0.0666666666666666,0.7333333333333333,6.4,0.0,0.1333333333333333,0.0666666666666666,1.4,20.8,1.3866666666666667,,,,,,,,,,,,,,,
Alexander Mattison,MIA,RB,26.0,14.0,7.0,132.0,420.0,4.0,3.1818181818181817,36.0,294.0,1.0,8.166666666666666,1.0,1.0,2024,0.8235294117647058,0.5,0.0,0.0,168.0,9.428571428571429,30.0,0.2857142857142857,2.571428571428572,21.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,12.0,117.4,8.385714285714286,Alexander Mattison,2024.0,8.428571428571429,5.64913190349297,19.55042886719905,2.744561147410216,31.428571428571427,93.85714285714286,2.656246134817564,0.8571428571428571,22.0,118.10891642187212,-24.25177356472926,-1.1064873742266523,0.253824850098142
Alvin Kamara,NO,RB,29.0,14.0,14.0,228.0,950.0,6.0,4.166666666666667,68.0,543.0,2.0,7.985294117647059,1.0,0.0,2024,0.8235294117647058,1.0,0.0,0.0,296.0,16.285714285714285,67.85714285714286,0.4285714285714285,4.857142857142857,38.785714285714285,0.1428571428571428,0.0714285714285714,0.0,21.142857142857142,231.3,16.521428571428572,Alvin Kamara,2024.0,6.615384615384615,4.649774389473161,25.9295472921638,2.765250905135395,34.15384615384615,144.46153846153845,4.247289775463351,0.9230769230769232,41.0,144.54138082741684,-3.1567654428014427,0.00752599118718,0.3779309321235681
Antonio Gibson,NE,RB,26.0,17.0,3.0,120.0,538.0,1.0,4.483333333333333,23.0,206.0,0.0,8.956521739130435,2.0,0.0,2024,1.0,0.1764705882352941,0.0,0.0,143.0,7.0588235294117645,31.647058823529413,0.0588235294117647,1.3529411764705883,12.117647058823527,0.0,0.1176470588235294,0.0,8.411764705882353,91.9,5.405882352941177,Antonio Gibson,2024.0,9.833333333333334,4.795032481690697,16.434537684537684,3.016423520923521,29.666666666666668,130.83333333333334,4.356468531468532,0.1666666666666666,4.0,110.2358183641229,20.264181635877108,0.7178070503196569,0.4205991720697603
Austin Ekeler,WAS,RB,29.0,12.0,6.0,77.0,367.0,4.0,4.766233766233766,35.0,366.0,0.0,10.457142857142856,3.0,0.0,2024,0.7058823529411765,0.5,0.0,0.0,112.0,6.416666666666667,30.58333333333333,0.3333333333333333,2.9166666666666665,30.5,0.0,0.25,0.0,9.333333333333334,114.8,9.566666666666668,Austin Ekeler,2024.0,9.5,4.246401515151515,24.47552447552448,2.6295,12.0,43.0,3.601398601398601,1.5,30.0,47.7599294826549,-4.7599294826548935,-0.3688539038707715,0.3286713286713286
Bijan Robinson,ATL,RB,22.0,17.0,17.0,304.0,1456.0,14.0,4.789473684210527,61.0,431.0,1.0,7.065573770491803,1.0,0.0,2024,1.0,1.0,0.0,0.0,365.0,17.88235294117647,85.6470588235294,0.8235294117647058,3.588235294117647,25.352941176470587,0.0588235294117647,0.0588235294117647,0.0,21.47058823529412,309.2,18.188235294117646,Bijan Robinson,2024.0,9.117647058823527,4.401730651884471,12.841085971435636,2.906763029727454,35.35294117647059,169.64705882352942,4.780522031894733,1.6470588235294117,7.0,142.87245137886964,23.127548621130348,0.6886396511422083,0.4726465047976222
Blake Corum,LAR,RB,24.0,17.0,1.0,58.0,207.0,0.0,3.5689655172413794,7.0,58.0,0.0,8.285714285714286,0.0,0.0,2024,1.0,0.0588235294117647,0.0,0.0,65.0,3.411764705882353,12.176470588235292,0.0,0.4117647058823529,3.411764705882353,0.0,0.0,0.0,3.823529411764706,30.000000000000004,1.7647058823529411,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,20.0,17.0,2.0,92.0,334.0,2.0,3.630434782608696,19.0,148.0,1.0,7.7894736842105265,0.0,0.0,2024,1.0,0.1176470588235294,0.0,0.0,111.0,5.411764705882353,19.647058823529413,0.1176470588235294,1.1176470588235294,8.705882352941176,0.0588235294117647,0.0,0.0,6.529411764705882,75.7,4.452941176470588,Braelon Allen,2024.0,6.25,4.023945233871579,16.79018445322793,2.6495519385026736,31.5,116.0,3.801548089591568,0.75,0.0,130.27622864631405,-16.77622864631406,-0.3733176509351979,0.3732323232323232
Breece Hall,NYJ,RB,23.0,16.0,16.0,209.0,876.0,5.0,4.1913875598086126,57.0,483.0,3.0,8.473684210526315,6.0,2.0,2024,0.9411764705882352,1.0,0.0,0.0,266.0,13.0625,54.75,0.3125,3.5625,30.1875,0.1875,0.375,0.125,16.625,208.4,13.025,Breece Hall,2024.0,8.333333333333334,5.653058416592116,12.023486747170956,2.901371950147961,26.666666666666668,113.26666666666668,4.212468165362902,0.6,20.0,108.89167255691991,1.041660776413411,-0.0379260468544098,0.3764262493572838
