Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
Brenton Strange,JAX,TE,24.0,17.0,10.0,40.0,411.0,2.0,10.275,1.0,1.0,2024,1.0,0.5882352941176471,0.0,0.0,40.0,2.3529411764705883,24.176470588235293,0.1176470588235294,0.0588235294117647,0.0588235294117647,2.3529411764705883,71.1,4.18235294117647,Brenton Strange,2024.0,5.6,6.933966666666666,2.9899777594156767,7.641463522012579,14.939002032208707,12.2,16.2,71.42767295597484,124.0,0.6,4.320095454545454,3.5618484140357025,0.7582470405097513,85.0
Brock Bowers,LV,TE,22.0,17.0,16.0,112.0,1194.0,5.0,10.660714285714286,0.0,0.0,2024,1.0,0.9411764705882352,1.0,0.0,117.0,6.588235294117647,70.23529411764706,0.2941176470588235,0.0,0.0,6.882352941176471,206.7,12.158823529411764,Brock Bowers,2024.0,9.625,6.450225376438079,3.317731288336648,6.324095005790777,24.98756751172343,13.6875,18.6875,73.15851581017021,145.5,0.625,5.317731315559441,4.398392019197878,0.9193392963615624,89.0
Cade Otton,TB,TE,25.0,14.0,14.0,59.0,600.0,4.0,10.169491525423728,2.0,1.0,2024,0.8235294117647058,1.0,0.0,0.0,60.0,4.214285714285714,42.85714285714285,0.2857142857142857,0.1428571428571428,0.0714285714285714,4.285714285714286,111.1,7.935714285714285,Cade Otton,2024.0,6.666666666666667,5.953940917107584,2.864449114349325,4.709599297573436,18.235918801325223,12.0,17.333333333333332,68.63180242490587,114.11111111111111,0.8888888888888888,4.2337625100887815,3.441658776843634,0.7921037332451468,88.0
Chigoziem Okonkwo,TEN,TE,25.0,17.0,11.0,52.0,479.0,2.0,9.211538461538462,2.0,1.0,2024,1.0,0.6470588235294118,0.0,0.0,53.0,3.0588235294117645,28.176470588235293,0.1176470588235294,0.1176470588235294,0.0588235294117647,3.117647058823529,85.60000000000001,5.03529411764706,Chigoziem Okonkwo,2024.0,0.0,6.797199999999999,4.060949185072256,5.784571428571427,9.838375788440418,52.0,70.0,74.28571428571429,483.0,2.0,5.187115384615386,4.179482266654736,1.0076331179606504,85.0
Dallas Goedert,PHI,TE,29.0,10.0,10.0,42.0,496.0,2.0,11.80952380952381,2.0,0.0,2024,0.5882352941176471,1.0,0.0,0.0,42.0,4.2,49.6,0.2,0.2,0.0,4.2,82.6,8.26,Dallas Goedert,2024.0,7.0,5.8826265969802565,3.776569081222862,6.029667415917416,18.422212477565047,10.857142857142858,13.142857142857142,83.6921411921412,127.71428571428572,0.2857142857142857,5.921928571428572,5.382825959923626,0.5391026115049465,88.0
Dalton Kincaid,BUF,TE,25.0,13.0,9.0,44.0,448.0,2.0,10.181818181818182,1.0,0.0,2024,0.7647058823529411,0.6923076923076923,0.0,0.0,44.0,3.3846153846153846,34.46153846153846,0.1538461538461538,0.0769230769230769,0.0,3.3846153846153846,78.80000000000001,6.061538461538462,Dalton Kincaid,2024.0,7.545454545454546,5.644511544011544,3.4538352759623434,9.080554112554111,24.104548566927747,7.363636363636363,12.909090909090908,55.50649350649351,75.27272727272727,0.3636363636363636,6.045555096418733,5.251780997786796,0.7937740986319372,86.0
Dalton Schultz,HOU,TE,28.0,17.0,13.0,53.0,532.0,2.0,10.037735849056604,0.0,0.0,2024,1.0,0.7647058823529411,0.0,0.0,53.0,3.117647058823529,31.294117647058822,0.1176470588235294,0.0,0.0,3.117647058823529,91.7,5.394117647058824,Dalton Schultz,2024.0,8.363636363636363,6.772794148380355,3.2027511380037663,7.40598714031067,15.709700658749016,8.181818181818182,13.545454545454543,57.67061370002546,79.18181818181819,0.3636363636363636,4.146196112064037,3.660974689531197,0.4852214225328396,86.0
David Njoku,CLE,TE,28.0,11.0,11.0,64.0,505.0,5.0,7.890625,0.0,0.0,2024,0.6470588235294118,1.0,0.0,0.0,64.0,5.818181818181818,45.90909090909091,0.4545454545454545,0.0,0.0,5.818181818181818,112.5,10.227272727272728,David Njoku,2024.0,8.818181818181818,6.559407789180517,3.2526439352698344,4.886042378684586,15.601982529664006,11.545454545454543,17.363636363636363,67.1346361340297,90.54545454545456,0.9090909090909092,4.384465954184704,3.470347876449506,0.9141180777351976,85.0
Evan Engram,DEN,TE,30.0,9.0,9.0,47.0,365.0,1.0,7.76595744680851,1.0,1.0,2024,0.5294117647058824,1.0,0.0,0.0,47.0,5.222222222222222,40.55555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,5.222222222222222,64.0,7.111111111111111,Evan Engram,2024.0,8.666666666666666,6.574270219198791,3.865844796063021,5.14490834435626,15.423411861721265,10.333333333333334,13.77777777777778,77.14561287477954,80.55555555555556,0.2222222222222222,3.565021332883036,4.139895555571756,-0.5748742226887199,17.0
George Kittle,SF,TE,31.0,15.0,15.0,78.0,1106.0,8.0,14.17948717948718,0.0,0.0,2024,0.8823529411764706,1.0,1.0,0.0,78.0,5.2,73.73333333333333,0.5333333333333333,0.0,0.0,5.2,197.6,13.173333333333336,George Kittle,2024.0,8.583333333333334,5.281526872737399,3.668723241112197,8.318241465439604,22.92334963942588,12.166666666666666,14.583333333333334,84.82825340538106,173.0,1.1666666666666667,7.12962065018315,5.109345686604235,2.0202749635789155,85.0
