Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rush_Att,Rush_Yds,Rush_TD,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
A.J. Brown,PHI,WR,27.0,13.0,13.0,67.0,1079.0,7.0,16.104477611940297,0.0,0.0,0.0,0.0,0.0,2024,0.7647058823529411,1.0,0.0,0.0,67.0,5.153846153846154,83.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,5.153846153846154,183.4,14.107692307692307,A.J. Brown,2024.0,9.666666666666666,5.554569075636086,2.0931986183583664,12.542335528517874,52.20757287317465,10.666666666666666,15.5,71.50908012377084,173.25,1.1666666666666667,5.402097429519071,2.918001925983788,2.484095503535284,11.0
Adam Thielen,CAR,WR,34.0,10.0,10.0,48.0,615.0,5.0,12.8125,0.0,0.0,0.0,0.0,0.0,2024,0.5882352941176471,1.0,0.0,0.0,48.0,4.8,61.5,0.5,0.0,0.0,0.0,0.0,0.0,4.8,115.5,11.55,Adam Thielen,2024.0,12.0,6.4540978535353535,2.878970309839153,11.132153522552718,27.694860704954344,11.0,14.125,77.58326351068287,138.0,1.25,2.92948611111111,2.9854999331200585,-0.0560138220089487,19.0
Adonai Mitchell,IND,WR,22.0,17.0,7.0,23.0,312.0,0.0,13.565217391304348,4.0,6.0,0.0,2.0,1.0,2024,1.0,0.4117647058823529,0.0,0.0,28.0,1.3529411764705883,18.352941176470587,0.0,0.2352941176470588,0.3529411764705882,0.0,0.1176470588235294,0.0588235294117647,1.6470588235294117,42.260000000000005,2.485882352941177,Adonai Mitchell,2024.0,4.0,6.4052807726864325,3.080309037375712,12.700974025974029,20.76483953298396,8.5,18.25,54.74025974025974,105.75,0.0,3.099710144927535,4.323279529997159,-1.2235693850696228,10.0
Alec Pierce,IND,WR,24.0,16.0,13.0,37.0,824.0,7.0,22.27027027027027,0.0,0.0,0.0,0.0,0.0,2024,0.9411764705882352,0.8125,0.0,0.0,37.0,2.3125,51.5,0.4375,0.0,0.0,0.0,0.0,0.0,2.3125,142.9,8.93125,Alec Pierce,2024.0,8.166666666666666,6.288796526340005,2.6963141465704097,18.44970968484012,36.09805339838216,9.333333333333334,17.166666666666668,53.699102829537615,185.66666666666663,1.8333333333333333,3.1382102102102087,3.058093443259645,0.080116766950564,14.0
Allen Lazard,NYJ,WR,29.0,12.0,10.0,37.0,530.0,6.0,14.324324324324325,0.0,0.0,0.0,0.0,0.0,2024,0.7058823529411765,0.8333333333333334,0.0,0.0,38.0,3.083333333333333,44.16666666666666,0.5,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,107.5,8.958333333333334,Allen Lazard,2024.0,5.333333333333333,5.391139898357004,2.5303948839252755,9.74891798941799,27.31280476523986,10.0,16.333333333333332,60.16534391534392,140.83333333333334,1.6666666666666667,3.8943438438438425,3.583392087157412,0.3109517566864311,10.0
Amari Cooper,FA,WR,30.0,14.0,10.0,44.0,547.0,4.0,12.431818181818182,0.0,0.0,0.0,0.0,0.0,2024,0.8235294117647058,0.7142857142857143,0.0,0.0,44.0,3.142857142857143,39.07142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,3.142857142857143,100.7,7.192857142857143,Amari Cooper,2024.0,4.666666666666667,6.062643738977072,2.6858984669709893,12.524629992737836,41.307746466972176,8.666666666666666,17.444444444444443,49.92711899574644,106.44444444444444,0.7777777777777778,3.051699134199134,3.4863919174013884,-0.4346927832022542,7.333333333333333
Andrei Iosivas,CIN,WR,25.0,17.0,8.0,36.0,479.0,6.0,13.305555555555555,0.0,0.0,0.0,0.0,0.0,2024,1.0,0.4705882352941176,0.0,0.0,36.0,2.117647058823529,28.176470588235293,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,2.117647058823529,101.9,5.994117647058824,Andrei Iosivas,2024.0,4.5,5.492171610169491,2.989548359534498,8.501481654957066,19.34165252206183,12.0,19.75,65.1112412177986,149.5,1.75,1.8491527777777768,2.019894454400136,-0.1707416766223586,80.0
Brandin Cooks,NO,WR,31.0,10.0,9.0,26.0,259.0,3.0,9.961538461538462,3.0,-3.0,0.0,0.0,0.0,2024,0.5882352941176471,0.9,0.0,0.0,29.0,2.6,25.9,0.3,0.3,-0.3,0.0,0.0,0.0,2.9,56.6,5.66,Brandin Cooks,2024.0,9.571428571428571,6.31471540880503,2.2881758557240954,13.45676662887377,30.8194264267376,6.428571428571429,13.714285714285714,46.4021164021164,61.71428571428572,0.7142857142857143,1.4466117216117218,2.2852603141046623,-0.8386485924929402,3.0
Brandon Aiyuk,SF,WR,26.0,7.0,7.0,25.0,374.0,0.0,14.96,0.0,0.0,0.0,0.0,0.0,2024,0.4117647058823529,1.0,0.0,0.0,25.0,3.571428571428572,53.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428572,49.9,7.128571428571428,Brandon Aiyuk,2024.0,3.142857142857143,4.961130192502533,2.264817112680277,12.721616008105372,26.026485056990104,6.857142857142857,12.857142857142858,51.88449848024316,100.14285714285714,0.0,3.5280928571428576,2.8382321928898406,0.6898606642530167,11.0
Calvin Austin III,PIT,WR,25.0,17.0,8.0,36.0,548.0,4.0,15.22222222222222,0.0,0.0,0.0,1.0,1.0,2024,1.0,0.4705882352941176,0.0,0.0,36.0,2.117647058823529,32.23529411764706,0.2352941176470588,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,2.117647058823529,94.8,5.576470588235295,Calvin Austin III,2024.0,11.166666666666666,5.748805555555555,2.544857099764964,12.46288888888889,31.889051303555565,3.5,5.166666666666667,68.88888888888889,52.0,0.1666666666666666,5.076999999999999,3.357386857875158,1.7196131421248408,19.0
Calvin Ridley,TEN,WR,30.0,17.0,14.0,64.0,1017.0,4.0,15.890625,8.0,55.0,1.0,1.0,1.0,2024,1.0,0.8235294117647058,0.0,0.0,72.0,3.764705882352941,59.8235294117647,0.2352941176470588,0.4705882352941176,3.235294117647059,0.0588235294117647,0.0588235294117647,0.0588235294117647,4.235294117647059,167.2,9.835294117647058,Calvin Ridley,2024.0,9.9375,5.951925508971705,2.651735357868364,16.595164186507937,47.57880725351919,7.875,14.625,55.0719246031746,134.66666666666666,0.5,4.235916865079365,3.4271663724211274,0.8087504926582376,0.0
