Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Rush_Att,Rush_Yds,Rush_TD,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Rush_Att_per_game,Rush_Yds_per_game,Rush_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number
Ja'Marr Chase,CIN,WR,21.0,17.0,17.0,81.0,1455.0,13.0,17.962962962962962,7.0,21.0,0.0,2.0,1.0,2021,1.0,1.0,1.0,0.0,88.0,4.764705882352941,85.58823529411765,0.7647058823529411,0.4117647058823529,1.2352941176470589,0.0,0.1176470588235294,0.0588235294117647,5.176470588235294,264.1,15.53529411764706,Ja'Marr Chase,2021.0,8.142857142857142,4.8919117648224795,2.335769443343762,13.452687847494767,42.02532122503641,11.0,17.214285714285715,64.58550006541078,199.14285714285714,1.7857142857142858,7.104716642044023,3.6946414277360224,3.410075214308001,1.0
Ja'Marr Chase,CIN,WR,22.0,12.0,12.0,87.0,1046.0,9.0,12.022988505747126,5.0,8.0,0.0,2.0,2.0,2022,0.7058823529411765,1.0,1.0,0.0,92.0,7.25,87.16666666666667,0.75,0.4166666666666667,0.6666666666666666,0.0,0.1666666666666666,0.1666666666666666,7.666666666666667,198.9,16.575,Ja'Marr Chase,2022.0,8.0,5.34771609842476,2.6642765266647412,9.852114367310836,38.62368881061241,13.384615384615385,20.615384615384617,65.61436586120857,160.92307692307693,1.3846153846153846,4.901284388025767,3.19450741079771,1.7067769772280572,1.0
Ja'Marr Chase,CIN,WR,23.0,16.0,16.0,100.0,1216.0,7.0,12.16,3.0,-6.0,0.0,1.0,0.0,2023,0.9411764705882352,1.0,1.0,0.0,104.0,6.25,76.0,0.4375,0.1875,-0.375,0.0,0.0625,0.0,6.5,212.72000000000003,13.295000000000002,Ja'Marr Chase,2023.0,7.933333333333334,5.8391218766531745,3.0316762980794687,8.575280306646368,36.559524909579245,12.866666666666667,18.8,65.53302021632331,155.93333333333334,0.9333333333333333,5.651946118326119,4.103674686823023,1.5482714315030965,1.0
Ja'Marr Chase,CIN,WR,24.0,17.0,16.0,127.0,1708.0,17.0,13.448818897637794,3.0,32.0,0.0,0.0,0.0,2024,1.0,0.9411764705882352,1.0,0.0,130.0,7.470588235294118,100.47058823529412,1.0,0.1764705882352941,1.8823529411764703,0.0,0.0,0.0,7.647058823529412,339.5,19.97058823529412,Ja'Marr Chase,2024.0,8.833333333333334,5.63887956950457,3.203881312013989,8.673467114965643,32.45907632846729,14.11111111111111,19.444444444444443,74.1657496461418,189.77777777777777,1.8888888888888888,6.718342940718269,3.852757373675608,2.8655855670426615,1.0
Jauan Jennings,SF,WR,24.0,16.0,1.0,24.0,282.0,5.0,11.75,0.0,0.0,0.0,1.0,0.0,2021,0.9411764705882352,0.0625,0.0,0.0,24.0,1.5,17.625,0.3125,0.0,0.0,0.0,0.0625,0.0,1.5,70.2,4.3875,Jauan Jennings,2021.0,15.75,5.924761904761905,2.916569137833272,9.887023809523809,24.579330799062262,3.5,5.75,58.92857142857143,46.75,0.75,4.9662500000000005,3.0590473306118726,1.9072026693881274,15.0
Jauan Jennings,SF,WR,25.0,16.0,4.0,35.0,416.0,1.0,11.885714285714286,0.0,0.0,0.0,1.0,0.0,2022,0.9411764705882352,0.25,0.0,0.0,35.0,2.1875,26.0,0.0625,0.0,0.0,0.0,0.0625,0.0,2.1875,65.1,4.06875,Jauan Jennings,2022.0,7.0,5.531528301886793,3.665698752657434,8.36657142857143,23.737768170802255,12.0,18.5,68.72023809523809,139.5,0.5,4.396785714285713,3.956866932183297,0.43991878210241586,15.0
Jauan Jennings,SF,WR,26.0,13.0,2.0,19.0,265.0,1.0,13.947368421052632,0.0,0.0,0.0,0.0,0.0,2023,0.7647058823529411,0.1538461538461538,0.0,0.0,19.0,1.4615384615384617,20.384615384615383,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,1.4615384615384617,42.0,3.230769230769231,Jauan Jennings,2023.0,7.0,5.888571428571429,4.823578729128548,8.108888888888892,30.43115670085898,5.0,9.0,55.55555555555556,54.0,0.0,4.629999999999998,3.976252226192992,0.6537477738070065,15.0
Jauan Jennings,SF,WR,27.0,15.0,10.0,77.0,975.0,6.0,12.662337662337665,0.0,0.0,0.0,1.0,0.0,2024,0.8823529411764706,0.6666666666666666,0.0,0.0,77.0,5.133333333333334,65.0,0.4,0.0,0.0,0.0,0.0666666666666666,0.0,5.133333333333334,172.0,11.466666666666669,Jauan Jennings,2024.0,10.0,5.379626781293558,2.5454691011432615,10.370366850736003,34.41568571312803,10.785714285714286,15.571428571428571,69.4407981749954,135.71428571428572,0.8571428571428571,3.300110235003092,2.630932774115217,0.6691774608878751,15.0
Christian Kirk,HOU,WR,22.0,12.0,7.0,43.0,590.0,3.0,13.72093023255814,3.0,35.0,0.0,0.0,0.0,2018,0.75,0.5833333333333334,0.0,0.0,46.0,3.583333333333333,49.16666666666666,0.25,0.25,2.9166666666666665,0.0,0.0,0.0,3.8333333333333335,102.0,8.5,Christian Kirk,2018.0,6.5,5.971808630952381,2.8104103019333193,9.7222581232493,26.21103833795194,7.9,12.6,62.680672268907564,101.4,0.4,3.8084114064230357,4.003681773310808,-0.19527036688777213,13.0
Christian Kirk,HOU,WR,23.0,13.0,13.0,68.0,709.0,3.0,10.426470588235292,10.0,93.0,0.0,0.0,0.0,2019,0.8125,1.0,0.0,0.0,78.0,5.230769230769231,54.53846153846154,0.2307692307692307,0.7692307692307693,7.153846153846154,0.0,0.0,0.0,6.0,132.2,10.169230769230769,Christian Kirk,2019.0,8.785714285714286,6.063852111678004,3.468780606321104,9.355935743489315,32.39103802375846,9.714285714285714,15.428571428571429,61.126400054971484,109.07692307692308,0.42857142857142855,4.2917586726998485,4.340736421662083,-0.04897774896223423,13.0
